"","new_name","country","year","lon","lat","rank_cwur","national_rank_cwur","quality_of_education","alumni_employment","quality_of_faculty","publications","influence","citations_cwur","broad_impact","patents","total_score_cwur","rank_times","teaching","international","research","citations_times","income","total_score_times","num_students","student_staff_ratio","international_students","female_male_ratio","rank_shanghai","national_rank_shanghai","total_score_shanghai","alumni","award","hici","ns","pub","pcp"
"416","University of Arkansas for Medical Sciences","United States of America",2015,NA,NA,429,143,367,567,218,501,565,812,344,340,45.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","University of Arkansas at Little Rock","United States of America",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,"126-146",NA,0,0,10.7,2.1,24.4,19.9
"435","University Lille 1: Sciences and Technologies","France",2015,NA,NA,562,24,367,567,218,414,400,368,511,546,44.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","UNESP, São Paulo State University","Brazil",2015,NA,NA,664,7,367,567,218,356,613,511,671,627,44.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,"2-4",NA,0,0,0,6.6,44.5,21.8
"446","Umea University","Sweden",2015,NA,NA,287,7,367,567,218,275,198,212,219,871,46.14,376,21.2,50.3,25.7,52.7,31.3,NA,"16,667",11.9,"7%","60 : 40",350,"8-10",NA,0,0,12.2,10.4,33.7,16.8
"457","Tokyo University of Science","Japan",2015,NA,NA,481,23,367,567,218,530,530,428,457,191,44.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Tokyo University of Agriculture and Technology","Japan",2015,NA,NA,624,38,367,567,218,641,756,511,606,264,44.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","Tokyo Medical and Dental University","Japan",2015,NA,NA,392,15,367,567,218,473,352,645,335,272,45.2,288,42.7,21.8,22.9,51.1,56.9,NA,"2,872",3.3,"7%","51 : 49",450,"13-18",NA,0,0,3.6,9.2,23.9,23.2
"461","Tokyo Institute of Technology","Japan",2015,NA,NA,109,8,170,50,128,169,169,136,190,52,50.13,141,53.5,37,52.9,48.1,69.4,50.9,"9,586",7.3,"13%","13 : 87",176,"6-7",NA,12.6,0,15.9,15.3,37.8,24
"462","Tokai University","Japan",2015,NA,NA,622,37,367,567,218,721,644,645,540,448,44.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
