new_name,country,lon,lat
Imperial College London,United Kingdom,-0.1731784,51.5177367
University of Brighton,United Kingdom,-0.1349366,50.8241295
University College London,United Kingdom,-0.1335692,51.5247063
London School of Hygiene & Tropical Medicine,United Kingdom,-0.1330843,51.5225729
University of Oxford,United Kingdom,-0.1263912,51.5177859
King's College London,United Kingdom,-0.1164836,51.5119334
"St George's, University of London",United Kingdom,-0.1105825,51.5619276
Queen Mary University of London,United Kingdom,-0.0591022,51.5169409
City University London,United Kingdom,-0.058781,51.5165535
University of Cambridge,United Kingdom,0.1177882,52.2016671
University of Sussex,United Kingdom,0.272273,50.7886322
University of Lleida,Spain,0.6200146,41.6175899
"University François Rabelais, Tours",France,0.6813896,47.3963222
University of Essex,United Kingdom,0.9531797,51.8768245
University of York,United Kingdom,1.069896,51.3085131
University of Canterbury,New Zealand,1.0760948,51.2704842
University of Rouen,France,1.099971,49.443232
University of East Anglia,United Kingdom,1.2406141,52.6184758
National Polytechnic Institute of Toulouse,France,1.444209,43.604652
Toulouse School of Economics,France,1.444209,43.604652
Polytechnic University of Catalonia,Spain,1.5208624,41.5911589
University of Franche-Comté,France,1.921086,47.843201
University of Savoy,France,1.9304856,47.8376224
University of Orléans,France,1.9557411,47.8490599
Blaise Pascal University,France,2.1364062,48.8185833
University of Évry Val d'Essonne,France,2.1569416,48.4585698
Autonomous University of Barcelona,Spain,2.1734035,41.3850639
University of Barcelona,Spain,2.1734035,41.3850639
Paris Dauphine University (Paris 9),France,2.3075232,48.8588342
Paris Diderot University - Paris 7,France,2.3075232,48.8588342
École Centrale Paris,France,2.3272053,48.8635276
Ecole Polytechnique,France,2.3473044,48.8480063
Paris-Est Créteil Val-de-Marne University,France,2.3522219,48.856614
University of Paris 13,France,2.4095529,48.8789786
University of Girona,Spain,2.8214264,41.9794005
University of the Balearic Islands,Spain,3,39.5
Lille 2 University of Health and Law,France,3.057256,50.62925
University of Auvergne,France,3.3448536,45.7032695
Ghent University,Belgium,3.7407719,51.0241197
University of Montpellier,France,3.876716,43.610769
University of Mons,Belgium,3.956659,50.4542408
University of Reims Champagne-Ardenne,France,4.031696,49.258329
Vrije Universiteit Brussel,Belgium,4.3063576,50.8892103
Université Libre de Bruxelles,Belgium,4.3821646,50.8135979
University of Antwerp,Belgium,4.4131738,51.2236072
Leiden University,Netherlands,4.481357,52.1569487
Katholieke Universiteit Leuven,Belgium,4.7004882,50.8759566
Ecole Normale Superieure - Lyon,France,4.835659,45.764043
Institut national des sciences Appliquées de Lyon,France,4.835659,45.764043
Université de Namur,Belgium,4.8719854,50.4673883
University of Amsterdam,Netherlands,4.9470315,52.3561962
Utrecht University,Netherlands,5.1214201,52.0907374
University of Bergen,Norway,5.3220544,60.3912628
Hasselt University,Belgium,5.3610845,50.9372065
Eindhoven University of Technology,Netherlands,5.4521652,51.4118931
Aix Marseille University,France,5.5693374,43.2897647
Wageningen University and Research Centre,Netherlands,5.6653948,51.9691868
Maastricht University,Netherlands,5.6886039,50.8442878
Grenoble Institute of Technology,France,5.724524,45.188529
Radboud University Nijmegen,Netherlands,5.8372264,51.8125626
University of Geneva,Switzerland,6.1008613,46.2243735
University of Lorraine,France,6.4529978,48.1678772
University of Groningen,Netherlands,6.5665018,53.2193835
University of Lausanne,Switzerland,6.6528621,46.5287859
University of Düsseldorf,Germany,6.7734556,51.2277411
University of Duisburg-Essen,Germany,6.7868875,51.4287845
University of Twente,Netherlands,6.8491442,52.2462129
University of Neuchâtel,Switzerland,6.9292732,46.9899874
University of Cologne,Germany,6.9602786,50.937531
University of Bonn,Germany,7.091353,50.7243357
University of Fribourg,Switzerland,7.1619719,46.8064773
Ruhr University Bochum,Germany,7.2586022,51.4471312
University of Münster,Germany,7.271265,51.4471925
Technical University of Dortmund,Germany,7.4652981,51.5135872
Polytechnic University of Turin,Italy,7.6868565,45.070312
University of Strasbourg,France,7.7521113,48.5734053
Albert Ludwig University of Freiburg,Germany,7.8421043,47.9990077
University of Osnabrück,Germany,8.022895,52.286698
University of Siegen,Germany,8.0290541,50.9057904
University of Mannheim,Germany,8.4660395,49.4874592
Swiss Federal Institute of Technology in Zurich,Switzerland,8.541694,47.3768866
University of Sassari,Italy,8.5556826,40.7259269
University of Zurich,Switzerland,8.5600613,47.3589251
University of Bremen,Germany,8.6493781,53.1678088
Jacobs University Bremen,Germany,8.6505383,53.1682713
Goethe University Frankfurt,Germany,8.6670057,50.1267568
Justus Liebig University Giessen,Germany,8.6784031,50.5840512
University of Marburg,Germany,8.7667933,50.8021728
University of Verona,Italy,8.7976037,45.7780081
University of Trieste,Italy,8.8092218,45.7853935
University of Milan,Italy,8.8324247,45.818325
University of Trento,Italy,8.8334433,45.8187548
University of Turin,Italy,8.8744546,45.7901029
University of Palermo,Italy,8.8753929,45.7891476
University of Genoa,Italy,8.8770319,45.7892014
University of Bologna,Italy,8.8774096,45.7880924
University of Tübingen,Germany,9.0576448,48.5216364
University of Cagliari,Italy,9.1216613,39.2238411
University of Pavia,Italy,9.1582069,45.1847248
University of Konstanz,Germany,9.1732384,47.6779496
Polytechnic University of Milan,Italy,9.1859243,45.4654219
University of Milan - Bicocca,Italy,9.2082569,45.5193521
University of Hohenheim,Germany,9.2170429,48.715394
University of Hanover,Germany,9.7244737,52.3536735
Hannover Medical School,Germany,9.7320104,52.3758916
University of Ulm,Germany,9.9488069,48.4226264
University of Goettingen,Germany,9.9525578,51.5608461
Julius-Maximilian's University of Würzburg,Germany,9.9533548,49.7913044
University of Würzburg,Germany,9.9533548,49.7913044
Technical University of Denmark,Denmark,9.9615901,57.0532387
Aalborg University,Denmark,9.9782838,57.0207906
University of Hamburg,Germany,9.9883584,53.563021
University of Brescia,Italy,10.2118019,45.5415526
University of Parma,Italy,10.3279036,44.801485
Scuola Normale Superiore di Pisa,Italy,10.4004543,43.7196569
Technical University of Braunschweig,Germany,10.5267696,52.2688736
University of Modena and Reggio Emilia,Italy,10.6296859,44.6989932
University of Lübeck,Germany,10.6865593,53.8654673
University of Augsburg,Germany,10.89779,48.3705449
University of Erlangen-Nuremberg,Germany,11.0273891,49.5737593
University of Florence,Italy,11.2692291,43.7779676
University of Siena,Italy,11.3307574,43.318809
University of Innsbruck,Austria,11.3436853,47.2643597
Innsbruck Medical University,Austria,11.4041024,47.2692124
Technical University of Munich,Germany,11.5671215,48.1495771
University of Bayreuth,Germany,11.5713346,49.9456399
Ludwig Maximilian University of Munich,Germany,11.5819806,48.1351253
University of Jena,Germany,11.5892372,50.927054
University of Ferrara,Italy,11.6219939,44.8288737
Otto-von-Guericke University Magdeburg,Germany,11.6372627,52.1424096
University of Padua,Italy,11.893188,45.410225
Roma Tre University,Italy,11.9089567,42.150398
University of Gothenburg,Sweden,11.9853213,57.6954209
Aarhus University,Denmark,12.1021324,55.6954021
University of Leipzig,Germany,12.3730747,51.3396955
University of Perugia,Italy,12.3908279,43.1107168
Sapienza University of Rome,Italy,12.5125693,41.9014226
University of Copenhagen,Denmark,12.572771,55.6852
University of Roma - Tor Vergata,Italy,12.6200302,41.8484155
University of Potsdam,Germany,12.96976,52.41323
University of Salzburg,Austria,13.0411939,47.8232621
University of Camerino,Italy,13.0683254,43.1356503
University of Udine,Italy,13.2345794,46.0710668
University of Greifswald,Germany,13.3923414,54.0865463
University of L'Aquila,Italy,13.3995091,42.3498479
Free University of Berlin,Germany,13.404954,52.5200066
Humboldt University of Berlin,Germany,13.5333041,52.4321218
"G. d'Annunzio University, Chieti-Pescara",Italy,14.2160898,42.4617902
Second University of Naples,Italy,14.2681244,40.8517746
Johannes Kepler University of Linz,Austria,14.2856695,48.290877
Czech Technical University in Prague,Czech Republic,14.4378005,50.0755381
"University of Chemistry and Technology, Prague",Czech Republic,14.4378005,50.0755381
Charles University in Prague,Czech Republic,14.4790226,50.0739978
University of Ljubljana,Slovenia,14.5185278,46.0512135
University of Pisa,Italy,14.6547033,41.5606325
University of Basilicata,Italy,14.6797989,41.5581424
University of Calabria,Italy,14.6809791,41.5594519
University of Catania,Italy,15.0830304,37.5078772
Örebro University,Sweden,15.2134105,59.2752626
Graz University of Technology,Austria,15.439504,47.070714
